Store_Name,Address,Address Line #2,City,State,Zip,Zip4,County,Location 1
Kinney Drugs 101,80 S Main St,Ste 2,Waterbury,VT,5676,1540,WASHINGTON ,"(44.334862, -72.753387)"
Mountain Greens Market,25 Mountain View St,,Bristol,VT,5443,1312,ADDISON ,"(44.134537, -73.076019)"
Rite Aid 10314,194 North St,,Bennington,VT,5201,1874,BENNINGTON ,"(42.881031, -73.197037)"
Rite Aid 10319,321 Main St,,Winooski,VT,5404,1380,CHITTENDEN ,"(44.498001, -73.184479)"
Rite Aid 10320,1 Prince Ln,,Bristol,VT,5443,1224,ADDISON ,"(44.133526, -73.078049)"
Rite Aid 10321,1184 Prim Rd Ste 2,,Colchester,VT,5446,4449,CHITTENDEN ,"(44.53783, -73.246849)"
Rite Aid 10322,221 Main St,,Enosburg Falls,VT,5450,6109,FRANKLIN ,"(44.905556, -72.805992)"
Rite Aid 10323,75 Pearl St,,Essex Junction,VT,5452,3625,CHITTENDEN ,"(44.493996, -73.119041)"
Rite Aid 10324,201 US Route 7,,Milton,VT,5468,31,CHITTENDEN ,"(44.625332, -73.117836)"
Rite Aid 10327,108 Cornerstone Dr,,Williston,VT,5495,4034,CHITTENDEN ,"(44.44762, -73.103767)"
Rite Aid 10330,48 Congress St,,Morrisville,VT,5661,6032,LAMOILLE ,"(44.561043, -72.598137)"
Rite Aid 10332,7 West St,,Rutland,VT,5701,3258,RUTLAND ,"(43.608627, -72.973244)"
Rite Aid 10333,1 Union St,,Brandon,VT,5733,1127,RUTLAND ,"(43.797401, -73.087753)"
Rite Aid 10334,263 Court St,,Middlebury,VT,5753,8986,ADDISON ,"(44.002907, -73.154274)"
Rite Aid 10336,82 VT Route 15 W,,Hardwick,VT,5843,9454,CALEDONIA ,"(44.507896, -72.360809)"
Rite Aid 10337,412 Broad St,,Lyndonville,VT,5851,8623,CALEDONIA ,"(44.525841, -72.000717)"
Rite Aid 01174,294 MAIN STREET,,WEST RUTLAND,VT,5777,,RUTLAND ,"(43.593456, -73.043709)"
Rite Aid 01363,4993 Main St Ste A,,Manchester Center,VT,5255,9768,BENNINGTON ,"(43.177505, -73.054832)"
Rite Aid 03201,62 Washington Street Ext,,Fair Haven,VT,5743,4402,RUTLAND ,"(43.600822, -73.273338)"
Rite Aid 04581,29 Main St,,Montpelier,VT,5602,3174,WASHINGTON ,"(44.258995, -72.576218)"
Rite Aid 04827,9 Susie Wilson Rd,,Essex Junction,VT,5452,2814,CHITTENDEN ,"(44.504547, -73.137573)"
"Champlain Islands Farmers Market, Inc.",Route 2,Multiple locations for outdoor market,Grand Isle,VT,5458,,GRAND ISLE ,"(44.680084, -73.31591)"
Hannaford 8408,139 1st St,,Swanton,VT,5488,8963,FRANKLIN ,"(44.921474, -73.11174)"
Hannaford 8409,71 Supermarket Dr,,Brandon,VT,5733,1180,RUTLAND ,"(43.797222, -73.090286)"
Cedar Circle Farm DF,225 Pavillion Rd,,East Thetford,VT,5043,9604,ORANGE ,"(43.806419, -72.189262)"
"The Vermont Farmers Market, Inc. FM",Depot Park,,Rutland,VT,5701,,RUTLAND ,"(43.633873, -72.927414)"
Alburgh Beverage Mart LLC,2 N Main St,,Alburgh,VT,5440,9725,GRAND ISLE ,"(44.976967, -73.299789)"
"Burlington New North End Farmers Market, Inc.",North Avenue,,Burlington,VT,5408,,CHITTENDEN ,"(44.494953, -73.230614)"
Windsor Farmers' Market FM,40 State Street,,Windsor,VT,5089,,WINDSOR ,"(43.480419, -72.387451)"
Market on the Green,Village Green,,Woodstock,VT,5091,486,WINDSOR ,"(43.637905, -72.562225)"
Richmond Farmers' Market,Volunteers Green,,Richmond,VT,5477,,CHITTENDEN ,"(44.391376, -72.988983)"
Orleans One Stop Mini Mart,115 Main St,,Orleans,VT,5860,1111,ORLEANS ,"(44.809372, -72.204643)"
Family Dollar 1613,2 Chester Rd,Ste 17,Springfield,VT,5156,2953,WINDSOR ,"(43.303715, -72.492638)"
Family Dollar 2621,120 Depot St,,Bennington,VT,5201,1883,BENNINGTON ,"(42.880108, -73.198837)"
Family Dollar 2964,65 Northgate Plz,Ste 13,Morrisville,VT,5661,5900,LAMOILLE ,"(44.57169, -72.594238)"
Family Dollar 3204,Old Route 4A - Westway Mall,,West Rutland,VT,5777,,RUTLAND ,"(43.593376, -73.04351)"
Family Dollar 5879,105 Lake St,,Saint Albans,VT,5478,2218,FRANKLIN ,"(44.810989, -73.086731)"
Family Dollar 6008,69 Jayview Dr,,Enosburg Falls,VT,5450,5164,FRANKLIN ,"(44.912487, -72.79689)"
Family Dollar 6907,406 VT Route 12 N,,Randolph,VT,5060,9310,ORANGE ,"(43.938087, -72.654312)"
Family Dollar 7483,266 Main St,,Newport,VT,5855,5039,ORLEANS ,"(44.935078, -72.211533)"
Family Dollar 7832,76 Main St,,Orleans,VT,5860,1128,ORLEANS ,"(44.80962, -72.204224)"
Thetford Center Village Store,3956 Route 113,,Thetford Center,VT,5075,9801,ORANGE ,"(43.832802, -72.247795)"
Circle K 7404,14 Missing Link Rd,,Springfield,VT,5156,9224,WINDSOR ,"(43.264217, -72.43737)"
Rite Aid 00297,896 Putney Rd,Unit 6,Brattleboro,VT,5301,8844,WINDHAM ,"(42.878963, -72.559647)"
Rite Aid 10315,499 Canal St,Ste 3,Brattleboro,VT,5301,3421,WINDHAM ,"(42.838814, -72.565277)"
SHREWSBURY COOPERATVE AT PIERCE'S STORE2658 NORTHU,2658 Northam Rd,,Cuttingsville,VT,5738,9674,RUTLAND ,"(43.528759, -72.827362)"
Hannaford Supermarket & Pharmacy 8426,586 Lower Plain,,Bradford,VT,5033,,ORANGE ,"(43.984421, -72.122025)"
West Street Market,36 West St,,Proctor,VT,5765,1042,RUTLAND ,"(43.658909, -73.043564)"
Kingsbury Market Garden,284 Route 100,,Warren,VT,5674,,WASHINGTON ,"(44.142723, -72.84259)"
C & C Supermarket,71 Church St,,Barton,VT,5822,,ORLEANS ,"(44.750023, -72.180275)"
Champlain Farms 340,65 Main St,,Vergennes,VT,5491,1113,ADDISON ,"(44.16906, -73.250008)"
Gracey's Store & Deli,1333 Williston Rd,,South Burlington,VT,5403,6461,CHITTENDEN ,"(44.466675, -73.17038)"
Simon's St. George Store,10 Barber Rd,,St George,VT,5495,8063,CHITTENDEN ,"(44.379028, -73.12645)"
Westgate Market Basket,50 Westgate Dr,,Brattleboro,VT,5301,6678,WINDHAM ,"(42.865463, -72.619843)"
River Valley Market,661 VT Route 100 N,,Wilmington,VT,5363,7917,WINDHAM ,"(42.910133, -72.843231)"
Takoda's Discount Variety,2848 Route 7,,Pownal,VT,5261,4415,BENNINGTON ,"(42.800163, -73.220078)"
White River Junction Coop Food Store,209 Maple St,,White River Junction,VT,5001,7028,WINDSOR ,"(43.651855, -72.318665)"
Kinney Drugs 102,151 VT Route 12 S,,Randolph,VT,5060,9237,ORANGE ,"(43.91264, -72.664421)"
Five Corners Farmers Market,Lincoln Place,,Essex Junction,VT,5452,,CHITTENDEN ,"(44.491795, -73.111122)"
Ingalls Market & Deli LLC,4121 VT Rte 100,,Eden Mills,VT,5653,9719,LAMOILLE ,"(44.713425, -72.523491)"
West Hartford Village Store,5187 Vt Rt 14 N,,West Hartford,VT,5084,,WINDSOR ,"(43.7131, -72.417641)"
Robert's Country Store,2980 VT Route 110,,Washington,VT,5675,7182,ORANGE ,"(44.107468, -72.433289)"
Clarks Williston Exit Sunoco,2939 St George Rd,,Williston,VT,5495,7428,CHITTENDEN ,"(44.440933, -73.114159)"
Dollar General 12210,23 Marlboro Rd,,Brattleboro,VT,5301,9706,WINDHAM ,"(42.861012, -72.606155)"
Dollar General 12464,105 VT Route 12 S,,Randolph,VT,5060,9237,ORANGE ,"(43.912266, -72.664398)"
Simon's Chimney Corners Store,6387 Roosevelt Hwy,,Colchester,VT,5446,7537,CHITTENDEN ,"(44.58733, -73.166451)"
Simon's Five Corner Store,2 Park St,,Essex Junction,VT,5452,3628,CHITTENDEN ,"(44.490486, -73.11113)"
Simon's Montpelier Store & Deli,377 River St,,Montpelier,VT,5602,8300,WASHINGTON ,"(44.236141, -72.553993)"
Jericho Center Country Store,25 Jericho Center Cir,,Jericho,VT,5465,2602,CHITTENDEN ,"(44.469784, -72.97319)"
Dutton Farm Stand DF,308 Marlboro Rd,,Brattleboro,VT,5301,9725,WINDHAM ,"(42.865734, -72.614899)"
Simon's MIlton Store,6 River St,,Milton,VT,5468,3641,CHITTENDEN ,"(44.639439, -73.113396)"
Simon's Route 2A Store,221 Colchester Rd,,Essex Junction,VT,5452,2401,CHITTENDEN ,"(44.518982, -73.123116)"
The Dam Store,89 Route 7 N,,Milton,VT,5468,3970,CHITTENDEN ,"(44.651688, -73.114914)"
"Cumberland Farms, Inc 8015",143 Main St,,Ludlow,VT,5149,1025,WINDSOR ,"(43.396118, -72.699768)"
"Cumberland Farms, Inc 8008",433 Woodstock Rd,,Woodstock,VT,5091,1159,WINDSOR ,"(43.627441, -72.506699)"
CVS Pharmacy 673,31 S Main St,,Rutland,VT,5701,5041,RUTLAND ,"(43.605999, -72.972328)"
Green Top Market,639 Morristown Corners Rd,,Morrisville,VT,5661,8673,LAMOILLE ,"(44.557373, -72.624153)"
Maple Corner Store,31 W County Rd,Unit 2,Calais,VT,5648,9998,WASHINGTON ,"(44.375149, -72.495079)"
Simon's Taft Plaza Store & Deli,10 Simons Plz,,Williston,VT,5495,5250,CHITTENDEN ,"(44.447899, -73.105827)"
Dollar General 12112,1 Noyes St,,Richford,VT,5476,1015,FRANKLIN ,"(44.990284, -72.675209)"
CVS Pharmacy 1052,7 Essex Way,,Essex Junction,VT,5452,3384,CHITTENDEN ,"(44.509377, -73.078506)"
North End Deli Mart 114,475 N Main St,,Barre,VT,5641,4039,WASHINGTON ,"(44.206093, -72.511765)"
Eastern & Main Market - Deli,1194 Main St,ste 101,St Johnsbury,VT,5819,,CALEDONIA ,"(44.418736, -72.020912)"
Intervale Center CSA,180 Intervale Rd,,Burlington,VT,5401,2804,CHITTENDEN ,"(44.495556, -73.206467)"
Marshfield Village Store,1425 US Route 2,,Marshfield,VT,5658,253,WASHINGTON ,"(44.351727, -72.348083)"
Wooden Barrel Country Store,231 Chittenden Rd,,Chittenden,VT,5737,9806,RUTLAND ,"(43.701935, -72.950874)"
Tunbridge Store,304 VT Route 110,,Tunbridge,VT,5077,9586,ORANGE ,"(43.890999, -72.490921)"
Aldrichs General Store,196 VT Route 5A,,West Burke,VT,5871,8901,CALEDONIA ,"(44.644024, -71.980827)"
Open Heart Farm DF,78 Rose St,Unit 4,Burlington,VT,5401,4212,CHITTENDEN ,"(44.486935, -73.21656)"
Olivia's Market,199 Stratton Rd,,Rutland,VT,5701,4621,RUTLAND ,"(43.603184, -72.955986)"
Lester Farm DF,2297 Ethan Allen Highway,,New Haven,VT,5472,,ADDISON ,"(44.079372, -73.175827)"
Merola's Market,1563 North Ave,,Burlington,VT,5408,2430,CHITTENDEN ,"(44.515396, -73.256386)"
Caledonia Farmers Market Association,Pearl Street,,St. Johnsbury,VT,5819,,CALEDONIA ,"(44.413353, -72.017159)"
M.R. Harvest LLC,55 Adams School Rd,,Grand Isle,VT,5458,2107,GRAND ISLE ,"(44.712719, -73.327332)"
Dollar Tree 2232,30 Rutland Shopping Plz,,Rutland,VT,5701,5201,RUTLAND ,"(43.604572, -72.979698)"
Putney Farmers Market,Carol Brown Way,,Putney,VT,5346,,WINDHAM ,"(42.967793, -72.522713)"
Crossroads Travel Center,232 US Route 2 S,,Alburgh,VT,5440,9799,GRAND ISLE ,"(44.959831, -73.277275)"
Killdeer Farm & Farm Stand,163 US Route 5 S,,Norwich,VT,5055,9430,WINDSOR ,"(43.72266, -72.283852)"
Ludlow Farmers Market Inc.,53 Main St,,Ludlow,VT,5149,1114,WINDSOR ,"(43.396698, -72.689873)"
Rays Seafood Market,7 Pinecrest Dr,,Essex Junction,VT,5452,2912,CHITTENDEN ,"(44.505444, -73.134811)"
Hardwick Farmers Market,Granite St.,,Hardwick,VT,5843,4405,CALEDONIA ,"(44.477428, -72.348045)"
Royalton Farmers Market,Railroad St,Town Green,South Royalton,VT,5068,,WINDSOR ,"(43.818245, -72.519928)"
Lyndon Farmers Market Assoc FM,1 Maple St,,Lyndonville,VT,5851,9542,CALEDONIA ,"(44.535507, -72.004929)"
Greensboro Farmers Market Assoc FM,1 Town Hall Park,,Greensboro,VT,5841,,ORLEANS ,"(44.600376, -72.323891)"
B & B Repair Service & Mini Mart,3009 Simonsville Rd,,Chester,VT,5143,9082,WINDSOR ,"(43.241978, -72.724068)"
Walgreens 11526,514 Farrell St,,Burlington,VT,5401,6907,CHITTENDEN ,"(44.450397, -73.207733)"
Rt 7 Liquor & Deli LLC,2659 Shelburne Rd,,Shelburne,VT,5482,6838,CHITTENDEN ,"(44.416885, -73.213066)"
Hardwick Kwik Stop & Deli,454 VT Route 15 W,,Hardwick,VT,5843,9773,CALEDONIA ,"(44.516914, -72.37867)"
Diggers Mirth Collective Farm,145 Intervale Ave,,Burlington,VT,5401,2821,CHITTENDEN ,"(44.488468, -73.210693)"
Simon's College Parkway,865 College Pkwy,,Colchester,VT,5446,3036,CHITTENDEN ,"(44.498535, -73.156471)"
Wellspring Organic Produce,182 Lafiria Pl,,Marshfield,VT,5658,7044,WASHINGTON ,"(44.319817, -72.379356)"
Clear Brook Farm - Knafel Farm Corp,47 Hidden Valley Rd,,Shaftsbury,VT,5262,,BENNINGTON ,"(43.002655, -73.195816)"
Black River Kwik Stop,360 River St,,Springfield,VT,5156,2242,WINDSOR ,"(43.320454, -72.506172)"
Namanste Asian Market,235 Main St,Unit 4,Winooski,VT,5404,1382,CHITTENDEN ,"(44.496193, -73.185425)"
Stone Valley Community Market,216 Main St,,Poultney,VT,5764,1106,RUTLAND ,"(43.517117, -73.23716)"
Dutton Farm Stand 2,407 VT Route 30,,Newfane,VT,5345,9660,WINDHAM ,"(42.973484, -72.658386)"
Dollar General 12793,2757 US Route 5 N,,Windsor,VT,5089,9492,WINDSOR ,"(43.485813, -72.385384)"
Dutton Farm Stand 03,2083 Depot St,,Manchester Center,VT,5255,9465,BENNINGTON ,"(43.175873, -73.019173)"
Tims Convenience Center 53,8132 US Route 2,,Plainfield,VT,5667,9085,WASHINGTON ,"(44.279877, -72.421822)"
Leicester Properties Inc,1620 US Route 7,,Brandon,VT,5733,9350,RUTLAND ,"(43.821537, -73.104019)"
Dollar Tree 4643,570 Shelburne Rd,Ste 1,Burlington,VT,5401,5053,CHITTENDEN ,"(44.449486, -73.209061)"
Chapin Orchard,150 Chapin Rd,,Essex Junction,VT,5452,2204,CHITTENDEN ,"(44.534477, -73.060265)"
Waggys Store And Deli,98 1/2 North Ave,Ste 2,Burlington,VT,5401,2910,CHITTENDEN ,"(44.484566, -73.222374)"
Spice N Nice,223 North St,,Bennington,VT,5201,1898,BENNINGTON ,"(42.882786, -73.196854)"
Dollar General 12564,2537 Route 7,,Pownal,VT,5261,4413,BENNINGTON ,"(42.804119, -73.219803)"
Dollar General 12566,173 Pearl St,,Enosburg Falls,VT,5450,6200,FRANKLIN ,"(44.905151, -72.809998)"
Dollar General 12567,4 Business Ctr Rd,,Williamstown,VT,5679,9321,ORANGE ,"(44.116547, -72.540138)"
KS Enterprises LLC,1301 Main St,,Fairfax,VT,5454,9535,CHITTENDEN ,"(44.674763, -73.019691)"
Mikes Store & Collectables Inc,148 Route 5,,Hartland,VT,5048,,WINDSOR ,"(43.538795, -72.400047)"
Kinney Drugs 103,10212 Route 116,,Hinesburg,VT,5461,,CHITTENDEN ,"(44.335518, -73.113029)"
Family Dollar 8798,34 Maple St,,Wallingford,VT,5773,,RUTLAND ,"(43.476528, -72.977386)"
Barnie's Market,167 Main St,,Concord,VT,5824,,ESSEX ,"(44.429577, -71.892029)"
Fleming Food Mart - Jamaica 21,8811 VT Route 30,,Jamaica,VT,5343,9722,WINDHAM ,"(43.146133, -72.841347)"
Morgan's East Barre Market,130 Mill St,,East Barre,VT,5649,3032,WASHINGTON ,"(44.159725, -72.450974)"
Village Market Of Waterbury,80 S Main St,Ste 1,Waterbury,VT,5676,1540,WASHINGTON ,"(44.334862, -72.753387)"
Granville General Store,5358 VT Route 100,,Granville,VT,5747,9684,ADDISON ,"(43.984386, -72.84584)"
Ocean State Job Lot 426,2000 Memorial Dr,,St Johnsbury,VT,5819,,CALEDONIA ,"(44.462624, -72.014755)"
Belmont General Store,2400 Belmont Rd,,Belmont,VT,5730,9998,RUTLAND ,"(43.414879, -72.821213)"
Big Apple Food Store 1073,280 Portland St,,Saint Johnsbury,VT,5819,2039,CALEDONIA ,"(44.420383, -72.010216)"
Penguin Market 2 LLC,124 Rockingham St,,Bellows Falls,VT,5101,1332,WINDHAM ,"(43.136913, -72.448715)"
Penguin Market LLC,50 Clinton St,,Springfield,VT,5156,3301,WINDSOR ,"(43.293648, -72.477669)"
Beverage Baron Inc,411 N Main St,,Barre,VT,5641,4008,WASHINGTON ,"(44.20369, -72.508919)"
Woodchuck Hollow Farm,285 VT Route 110,,Orange,VT,5641,9754,WASHINGTON ,"(44.145748, -72.434525)"
Grants Village Store,8 East St,,Middletown Springs,VT,5757,4008,RUTLAND ,"(43.485352, -73.117989)"
Breakyard 162,96 Federal St,,Saint Albans,VT,5478,2098,FRANKLIN ,"(44.81282, -73.085373)"
Middle Branch Mkt & Deli - S&L East Randolph  LLC,29 VT Route 14 S,,East Randolph,VT,5041,9551,ORANGE ,"(43.941261, -72.554771)"
Fairfield Farmers Market Online,164 Park St,,Fairfield,VT,5455,5673,FRANKLIN ,"(44.799744, -72.946808)"
JERICHO FARMERS MARKET/Mills Riverside FM LLC,Route 15,Mills Riverside Park,Jericho,VT,5465,,CHITTENDEN ,"(44.502731, -73.0065)"
Eden Farmers Market,637 Old Deuso Rd,,Eden,VT,5652,9737,LAMOILLE ,"(44.711273, -72.554993)"
West River Farmers Market,2306 N Main St,Mill Tavern & Williams Park,Londonderry,VT,5148,,WINDHAM ,"(43.229393, -72.814064)"
Dorset Farmers Market Cooperative,2732 Vt Route 230,,Dorset,VT,5251,,BENNINGTON ,"(43.260468, -73.088364)"
Shelburne Rd Short Stop 104,1830 Shelburne Rd,,South Burlington,VT,5403,7722,CHITTENDEN ,"(44.421986, -73.211876)"
Mobil Short Stop 107,977 Shelburne Rd,,South Burlington,VT,5403,6937,CHITTENDEN ,"(44.442562, -73.209869)"
Alburg II Short Stop 136,320 US Route 2 N,,Alburgh,VT,5440,9730,GRAND ISLE ,"(44.999157, -73.329964)"
Hinesburg Short Stop 143,21 Commerce St,,Hinesburg,VT,5461,9147,CHITTENDEN ,"(44.334778, -73.111076)"
LUNENBURG VARIETY,23 W MAIN ST,,LUNENBURG,VT,5906,,ESSEX ,"(44.463154, -71.683289)"
Jolley South Hero - Mobil 173,337 Route 2,,South Hero,VT,5486,4225,GRAND ISLE ,"(44.645382, -73.307053)"
Jolley 303,341 VT Route 15,,Jericho,VT,5465,3153,CHITTENDEN ,"(44.517368, -72.948395)"
Go Go Mart 156,911 S Main St,,Stowe,VT,5672,4596,LAMOILLE ,"(44.454765, -72.695496)"
Wilmington Short Stop 147,87 E Main St,,Wilmington,VT,5363,9645,WINDHAM ,"(42.865704, -72.863892)"
Rutland II Short Stop 140,351 US Route 4 E,,Rutland,VT,5701,9035,RUTLAND ,"(43.624973, -72.950729)"
Middlebury Short Stop 134,220 Court St,,Middlebury,VT,5753,8984,ADDISON ,"(44.003204, -73.155441)"
Fairgrounds Beverage,103A Pearl St,,Essex Junction,VT,5452,3625,CHITTENDEN ,"(44.495457, -73.122177)"
River Berry Farm,191 Goose Pond Rd,,Fairfax,VT,5454,9585,CHITTENDEN ,"(44.652943, -72.974457)"
Family Dollar 8524,53 E Main St,,Wilmington,VT,5363,9645,WINDHAM ,"(42.866425, -72.86702)"
Lakefront Express Mart-deli/bakery,28 Cross St,,Island Pond,VT,5846,3002,ESSEX ,"(44.814701, -71.881119)"
Champlain Farms 275,3705 US Route 7,,Pittsford,VT,5763,9478,RUTLAND ,"(43.706863, -73.021446)"
Eden Farmers Market,120 Knowles Flat Rd,Eden Central School - Outdoors,Eden,VT,5652,,LAMOILLE ,"(44.703465, -72.565216)"
Jiffy Mart 15,232 Grove St,,Brandon,VT,5733,1028,RUTLAND ,"(43.802639, -73.096176)"
Jiffy Mart 18,39 South Main Street,,Chester,VT,5143,,WINDSOR ,"(43.262714, -72.594231)"
Jiffy Mart 10,346 N Main St,,Barre,VT,5641,4148,WASHINGTON ,"(44.201694, -72.506935)"
Jiffy Mart 38,169 Railroad St,,Saint Johnsbury,VT,5819,2667,CALEDONIA ,"(44.414997, -72.016541)"
Jiffy Mart P&h Truckstop 37,2886 Route 302,,Wells River,VT,5081,9730,ORANGE ,"(44.158558, -72.088104)"
Jiffy Mart 36,973 E Barre Rd,,East Barre,VT,5649,3033,WASHINGTON ,"(44.161686, -72.449265)"
Jiffy Mart 22,6800 Woodstock Road,,Quechee,VT,5059,241,WINDSOR ,"(43.648014, -72.424126)"
Jiffy Mart 30,110 Kennedy Dr,,South Burlington,VT,5403,7113,CHITTENDEN ,"(44.454227, -73.166275)"
Jiffy Mart 32,2045 Us Rt 7,,East Dorset,VT,5253,727,BENNINGTON ,"(43.239803, -73.010262)"
Jiffy Mart 17,4276 Vt Route 106,,Perkinsville,VT,5151,9632,WINDSOR ,"(43.399738, -72.514702)"
Jiffy Mart 43,133 Blakely Rd,Ste 102,Colchester,VT,5446,3984,CHITTENDEN ,"(44.543076, -73.213821)"
Jiffy Mart 44,107 Mill Street,,Hardwick,VT,5843,,CALEDONIA ,"(44.503765, -72.364265)"
Jiffy Mart 31,17 Ballards-corners,,Hinesburg,VT,5461,9701,CHITTENDEN ,"(44.341095, -73.117882)"
Jiffy Mart 26,500 Essex Rd,,Williston,VT,5495,7194,CHITTENDEN ,"(44.475159, -73.11338)"
Jiffy Mart 27,5637 Shelburne Rd,,Shelburne,VT,5482,6507,CHITTENDEN ,"(44.375656, -73.229408)"
Jiffy Mart 28,Corner Of Us7 & Vt17,,New Haven,VT,5472,,ADDISON ,"(44.119373, -73.156204)"
